title;bookID;author;rating;ratingsCount;reviewsCount;reviewerName;reviewerRating
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook;1197;Tyler Florence;04.06;1189;15;Sageri;1
Tyler's Ultimate: Brilliant Simple Food to Make Any Time;1196;Tyler Florence;04.12;3206;35;Cahyono;4
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta;1204;Steven D. Levitt;0,189583333;552814;13793;Teddy;1
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1);1202;Steven D. Levitt;0,189583333;552810;13793;Elsa;4
Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything;1203;Steven D. Levitt;0,189583333;552814;13793;Cahyono;4
Zadie Smith's White Teeth: A Reader's Guide;3712;Claire Squires;0,185416667;38;2;Choddy;4
Eat This Book: Cooking with Global Fresh Flavors;1198;Tyler Florence;0,185416667;216;16;Rifki;2
A People and a Nation: A History of the United States, Dolphin Edition - Complete;2775;Thomas G. Paterson;03.33;3;0;Abdul Aziz;3
A Transmissão Do Conhecimento E O Ensino Noturno;5620;M. Bernadete Santa Cecília Caporalini;0;0;0;Abdul Aziz;5
Graphic Design: A History;2777;Alain Weill;0,190972222;39;5;Umar Jamil;2
A People and a Nation: A History of the United States;2773;Mary Beth Norton;03.47;98;8;Randi;2
Immigrant Acts: On Asian American Cultural Politics;2781;Lisa Lowe;0,190277778;189;8;Randi;5
Graphic Design: A Concise History (World of Art);2778;Richard Hollis;0,19375;555;8;Dirga;2
Graphic Design in America: A Visual Language History;2780;Mildred Friedman;04.06;5;0;Witsqadianto;1
History of Graphic Design--Instructor's Manual;2779;Philip B. Meggs;04.14;1919;53;Witsqadianto;1
Meggs' History of Graphic Design;2776;Philip B. Meggs;04.14;1919;53;Danit;1
Easy Indian Cooking;6847;Suneeta Vaswani;03.44;18;2;Danit;4
Anne of Green Gables My First Classics;8135;Laura F. Marsh;04.27;11;0;Danit;5
Murder at Ford's Theatre (Capital Crimes, #19);2292;Margaret Truman;03.07;635;74;Danit;5
A Tangled Web;8136;L.M. Montgomery;0,186805556;3593;233;Riyan;4
Other Voices, Other Rooms;2287;Truman Capote;0,181944444;10357;682;Elsa;3
Murder at Union Station (Capital Crimes, #20);2293;Margaret Truman;03.56;527;60;Riyan;5
The Life and Teachings of the Prophet Joseph;2291;Truman G. Madsen;0,209027778;212;15;Riyan;5
Murder at The Washington Tribune (Capital Crimes, #21) ;2290;Margaret Truman;03.55;604;77;Riyan;3
In Cold Blood;2289;Truman Capote;04.05;407017;11932;Sageri;3
Answered Prayers - The Unfinished Novel;2288;Truman Capote;03.49;2789;214;Sageri;2
Holiday Romance and Other Writings for Children;5661;Charles Dickens;03.41;133;19;Danit;5
Wild Grass;9733;Long Zhou;0;0;0;Sageri;4
Ender's Game Boxed Set: Ender's Game, Ender's Shadow, Shadow of the Hegemon;9735;Orson Scott Card;04.48;1768;59;Cahyono;5
Andrew Carnegie;5486;David Nasaw;0,189583333;1963;179;Teddy;3
Carnegie;5487;Peter Krass;04.01;200;19;Elsa;4
The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3);5488;Naguib Mahfouz;04.45;3066;234;Cahyono;2
Beyond Ender's Game: Speaker for the Dead, Xenocide, Children of the Mind (Ender's Saga, #2-4);9736;Orson Scott Card;04.21;1818;87;Choddy;2
Speaker for the Dead (Ender's Saga, #2);9739;Orson Scott Card;04.04;184626;6665;Rifki;2
Ender's Game (Ender's Saga, #1);9734;Orson Scott Card;04.03;884481;38381;Abdul Aziz;5
Ender's Shadow (Shadow Series, #1);9738;Orson Scott Card;04.03;127050;4643;Abdul Aziz;5
Ender's Game (Ender's Saga, #1);9737;Orson Scott Card;04.03;884488;38381;Umar Jamil;5
New Technology in Language Learning: Proceedings of the 1989 Man and the Media Symposium;2757;Graham Davies;0;0;0;Randi;2
Hypercapitalism: New Media, Language, and Social Perceptions of Value;2758;Phil Graham;4;1;0;Randi;1
The New Media Challenge;2759;N. E Trowbridge;0;0;0;Dirga;1
A Break in Your Cycle;8328;Theresa Cheung;4;2;0;Witsqadianto;4
The Language of New Media Design: Theory and Practice;2760;Radan Martinec;03.05;2;0;Witsqadianto;1
New Media Language;2756;Jean Aitchison;3;2;0;Danit;4
Worry: The Root of All Evil;8327;Theresa Cheung;5;1;0;Danit;4
Amazing You: Face & Hand Reading: Discover Their Secret Meanings!;8326;Theresa Cheung;0,171527778;6;3;Danit;3
Spitting Feathers;6365;Kelly Harte;03.21;76;12;Danit;1
V.;410;Thomas Pynchon;0,192361111;16233;839;Riyan;1
Saving Graces: The Inspirational Writings of Laura Ingalls Wilder;8234;Laura Ingalls Wilder;04.02;50;7;Elsa;5
La casa de la pradera (Little House, #2);8226;Laura Ingalls Wilder;04.18;204311;3292;Riyan;5
Winter on the Farm;8230;Laura Ingalls Wilder;04.11;360;24;Riyan;1
The Great Debate;8232;Thomas L. Tedrow;03.42;66;6;Riyan;2
Winter Days in the Big Woods;8227;Laura Ingalls Wilder;04.27;1335;56;Sageri;3
Summertime in the Big Woods;8233;Laura Ingalls Wilder;04.16;826;38;Sageri;4
Story of Laura Ingalls Wilder: Pioneer Girl;8229;Megan Stine;0,185416667;76;9;Danit;4
Dictionary of Dreams: Interpretation and Understanding: 3,500 Interpretations to Understand the True Meaning of Your Dreams;8235;Didier Colin;03.04;5;0;Sageri;5
Walnut Grove Story (Laura Ingalls Wilder);8231;William Anderson;04.43;28;1;Cahyono;5
The First Four Years (Little House, #9);8228;Laura Ingalls Wilder;0,186111111;28476;784;Teddy;4
The Persian War (Translations from Greek & Roman Authors);1370;Herodotus;04.04;384;6;Elsa;5
The History;1369;Herodotus;0,192361111;32557;899;Cahyono;3
The History (Great Minds);1364;Herodotus;0,192361111;32557;899;Choddy;4
The Histories;1366;Herodotus;0,192361111;32557;899;Rifki;5
"Immortal Animal Souls: Joseph Hamilton's Animal Futurity (1877) Together with the Debate Among Karkeek, Spooner, and Manthorp on ""The Future";8484;W. F. Karkeek;0;0;0;Abdul Aziz;3
The Histories;1367;Herodotus;0,192361111;32557;899;Abdul Aziz;5
The Histories;1362;Herodotus;0,192361111;32556;899;Umar Jamil;1
The Histories;1363;Herodotus;0,192361111;32557;899;Randi;2
The Histories;1365;Herodotus;0,192361111;32557;899;Randi;5
The Histories ;1368;Herodotus;0,192361111;32557;899;Dirga;1
Taizhong Xian Di Tu: Fu Fengyuan Shi, Wufeng, Qingshui, Wuqi, Shalu, Dongshi, Dajia Jie Dao Tu;6044;Jing Wei tu shu you xian gong si;0;0;0;Witsqadianto;5
Taidong Xian Di Tu: Fu Taidong Shi Di Tu Ji Guan Guang You Lan Ming Sheng;6046;Jing Wei tu shu you xian gong si;0;0;0;Witsqadianto;3
Brother Juniper;6051;Diane Gibfried;04.41;27;5;Danit;2
Pingdong Shi Jie Tu: Fu Pingdong Xian Di Tu Ji Guan Guang You Lan Ming Sheng;6045;Jing Wei tu shu you xian gong si;0;0;0;Danit;1
Brother Juniper's Bread Book;6050;Peter Reinhart;04.02;135;12;Danit;4
Configuring Juniper Networks NetScreen & SSG Firewalls;6049;Rob Cameron;03.05;12;1;Danit;3
Juniper;6048;Monica Furlong;04.15;8044;167;Riyan;4
Juniper, Gentian, and Rosemary;6052;Pamela Dean;03.55;406;40;Elsa;1
Piano: An Easy Guide to Reading Music, Playing Your First Piece, Enjoying Your Piano;6208;Chris Coetzee;03.05;2;0;Riyan;3
Meet the Friends;9026;Sharla Scannell Whalen;03.25;12;0;Riyan;4
Principles of Conservation Biology;7270;Martha J. Groom;0,193055556;44;3;Riyan;3
Dominion;7268;Masamune Shirow;0,178472222;304;13;Sageri;4
Buffalo Coat;7935;Carol Ryrie Brink;04.09;75;24;Sageri;5
Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity;7271;Elliott A. Norse;0,213194444;12;2;Danit;4
Essentials of Conservation Biology;7269;Richard B. Primack;0,182638889;59;3;Sageri;4
The Daodejing of Laozi;6447;Lao Tzu;04.32;81959;3264;Cahyono;1
Ivanhoe;6445;Walter Scott;0,177083333;72149;1837;Teddy;3
Ivanhoe;6444;Walter Scott;0,177083333;72153;1837;Elsa;4
Baby Island;7934;Carol Ryrie Brink;04.04;1531;229;Cahyono;2
Ivanhoe ;6446;Walter Scott;0,177083333;72153;1837;Choddy;5
Cliffs Notes on Stevenson's Treasure Island and Kidnapped;303;O.L. Mishk;4;2;0;Rifki;5
George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda';305;David Kaufmann;3;1;0;Abdul Aziz;5
Treasure Island;301;Robert Louis Stevenson;0,181944444;315294;8081;Abdul Aziz;3
Daniel Deronda Notebooks;306;George Eliot;03.05;2;0;Umar Jamil;2
Treasure Island;300;Robert Louis Stevenson;0,181944444;315283;8081;Randi;4
Treasure Island;297;Robert Louis Stevenson;0,181944444;315294;8081;Randi;2
Treasure Island;299;Robert Louis Stevenson;0,181944444;315294;8081;Dirga;4
Treasure Island;298;Robert Louis Stevenson;0,181944444;315294;8081;Witsqadianto;3
Daniel Deronda;304;George Eliot;0,181944444;19371;735;Witsqadianto;2
Treasure Island (Great Illustrated Classics);302;Deidre S. Laiken;04.01;2973;99;Danit;1
Psychopathologie Périnatale: [1ère Journée D'étude, Université De Paris Vii Denis Diderot, 1997];3336;Moniqe Bydlowski;0;0;0;Danit;5
The Big Oyster: History on the Half Shell;3342;Mark Kurlansky;03.09;2830;342;Danit;1
Creative Correction: Extraordinary Ideas For Everyday Discipline;3806;Lisa Whelchel;03.09;1040;94;Danit;4
The Story of Salt;3340;Mark Kurlansky;04.04;306;72;Riyan;1
Cooking Without a Grain of Salt: Helpful Hints and Tasty Recipes for Creating Delicious Low Salt Meals for Your Whole Family;3339;Elma W. Bagg;03.17;18;0;Elsa;4
Suppliant Women, Electra, Heracles;1495;Euripides;04.46;26;4;Riyan;1
Boogaloo on 2nd Avenue;3343;Mark Kurlansky;03.13;201;32;Riyan;5
Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea;3341;Mark Kurlansky;0,19375;894;125;Riyan;5
Considérations Salutaires Sur Le Désastre De Srebrenica: Essai;3338;Yves Laplace;0;0;0;Sageri;4
"Studies In J.D. Salinger: Reviews, Essays & Critiques Of The 'Catcher In The Rye"" And Other Fiction.";7168;Marvin Laser;0;0;0;Sageri;5
Am I My Sister's Keeper?;6908;S.  Stephens;0,191666667;28;1;Danit;3
The Catcher in the Rye: Innocence Under Pressure (Twayne's Masterwork Studies,  #114);7169;Sanford Pinsker;0,177083333;8;1;Sageri;1
The Catcher in the Rye;7172;Joy Leavitt;0,190277778;31;0;Cahyono;5
Open Society and Its Enemies, Volume 2: The High Tide of Prophecy: Hegel, Marx, and the Aftermath;9483;Karl R. Popper;04.03;1603;58;Teddy;4
The Catcher In The Rye;7170;J.D. Salinger;0,179861111;2148607;45525;Elsa;3
Within a Budding Grove (In Search of Lost Time, #2);9484;Marcel Proust;04.04;7184;543;Cahyono;5
The Best of Ray Bradbury;9633;Ray Bradbury;04.09;274;26;Choddy;3
From the Dust Returned;9634;Ray Bradbury;0,177777778;3664;334;Rifki;1
Witnessing AIDS: Writing, Testimony, and the Work of Mourning;6079;Sarah S. Brophy;03.05;2;0;Abdul Aziz;4
Emily of Deep Valley (Deep Valley, #2);7906;Maud Hart Lovelace;04.23;2533;171;Abdul Aziz;4
Baseball Prospectus 2004: Statistics, Analysis and Insight for the Information Age;8692;Baseball Prospectus;04.03;69;2;Umar Jamil;5
Baseball Prospectus '97 (Baseball Prospectus);8691;Joe Sheehan;04.05;4;0;Randi;1
Baseball Prospectus 2005: Statistics, Analysis, and Insight for the Information Age;8690;Baseball Prospectus;04.26;65;1;Randi;3
West Africa;8693;Lonely Planet;0,16875;70;6;Dirga;1
The Automatic Millionaire Workbook: A Personalized Plan to Live and Finish Rich. . . Automatically;623;David Bach;0,174305556;87;4;Witsqadianto;5
The Automatic Millionaire Homeowner;624;David Bach;0,18125;1073;76;Witsqadianto;3
Life, the Universe and Everything (Hitchhiker's Guide, #3);8694;Douglas Adams;04.19;149024;2429;Danit;3
The Automatic Millionaire: A Powerful One Step Plan To Live And Finish Rich;625;David Bach;03.09;10941;524;Danit;5
The Canterbury Tales: Volume III;2704;Geoffrey Chaucer;03.17;42;7;Danit;1
Creative Sparks: An Index of 150+ Concepts, Images and Exercises to Ignite Your Design Ingenuity;3474;Jim Krause;0,190972222;95;4;Danit;2
A Walk to Remember;3473;Nicholas Sparks;04.15;561448;11179;Riyan;5
Message in a Bottle;3471;Nicholas Sparks;0,190972222;193504;3779;Elsa;5
The Notebook;3472;Nicholas Sparks;04.07;1084253;17385;Riyan;4
El Guardián;3468;Nicholas Sparks;04.14;143823;4364;Riyan;1
Cirque Du Soleil: The Spark: Igniting the Creative Fire That Lives Within Us All;3470;John U. Bacon;0,177777778;428;86;Riyan;4
Nights in Rodanthe;3469;Nicholas Sparks;0,181944444;137453;4044;Sageri;4
El Cuaderno De Noah;3475;Nicholas Sparks;04.07;1084285;17389;Sageri;5
The First World War;8914;John Keegan;4;9834;369;Danit;2
Earth Odyssey: Around the World in Search of Our Environmental Future;1390;Mark Hertsgaard;04.22;254;32;Sageri;1
The Last Temptation Of Christ: Its Deception And What You Should Do About It;8743;Erwin W. Lutzer;3;1;0;Cahyono;1
Film, Faith, and Cultural Conflict: The Case of Martin Scorsese's the Last Temptation of Christ;8740;Robin Riley;3;3;1;Teddy;3
Desert Dawn;8744;Waris Dirie;0,181944444;2095;87;Elsa;4
The Last Temptation (Tony Hill & Carol Jordan, #3);8741;Val McDermid;4;5196;299;Cahyono;1
Desert Children;8746;Waris Dirie;0,172222222;555;35;Choddy;1
Desert Flower;8747;Waris Dirie;04.09;13152;831;Rifki;1
The Last Temptation;8742;Nikos Kazantzakis;04.14;9600;600;Abdul Aziz;5
Nomadentochter;8748;Waris Dirie;0,181944444;2095;87;Abdul Aziz;2
Desert Flower;8745;Waris Dirie;04.09;13149;831;Umar Jamil;5
Whipping Star (ConSentiency Universe, #1);2012;Frank Herbert;0,170138889;2694;145;Randi;5
Don DeLillo's White Noise (Bloom's Modern Critical Interpretations);401;Harold Bloom;0,170138889;23;1;Randi;3
Nursing Diagnosis Reference Manual;3477;Sheila M. Sparks Ralph;04.04;23;0;Dirga;3
Americana;403;Don DeLillo;03.44;3907;296;Witsqadianto;1
Message in a Bottle;3478;Nicholas Sparks;0,190972222;193497;3778;Witsqadianto;3
Icy Sparks;3476;Gwyn Hyman Rubio;0,172222222;35201;1146;Danit;1
Mao II;402;Don DeLillo;0,172222222;8100;451;Danit;4
Ratner's Star;405;Don DeLillo;03.05;1548;132;Danit;5
The Second Sex;8497;Simone de Beauvoir;04.01;21469;852;Danit;4
Hailstones and Halibut Bones;8496;Mary O'Neill;04.31;826;110;Riyan;2
Running Dog;404;Don DeLillo;03.42;1385;91;Elsa;3
Spring Cooking;4489;Bridget  Jones;0;0;0;Riyan;2
Investing in REITs: Real Estate Investment Trusts;1283;Ralph L. Block;03.58;98;10;Riyan;2
A Cook's Year;4490;Bridget  Jones;0;0;0;Riyan;2
Playing the REITs Game: Asia's New Real Estate Investment Trusts;1284;Dominic Whiting;02.05;6;0;Sageri;5
Bridget Jones's Guide to Life;4488;Helen Fielding;03.46;1047;29;Sageri;3
Children Are from Heaven: How to Have Strong, Confident Children;1282;John Gray;0,184027778;775;95;Danit;2
Men are From Mars, Women are From Venus Low Price CD;1281;John Gray;03.52;131140;4294;Sageri;1
Grand Valley Dani: Peaceful Warriors;2261;Karl G. Heider;03.03;40;5;Cahyono;3
Men Are From Mars, Women Are From Venus: A Practical Guide For Improving Communication and Getting What You Want;1280;John Gray;03.52;131140;4294;Teddy;1
Wisdom of the Peaceful Warrior: A Companion to the Book That Changes Lives;2260;Dan Millman;04.06;386;21;Elsa;5
The Unexpurgated Code A Complete Manual Of Survival And Manners;4847;J.P. Donleavey;04.12;17;2;Cahyono;1
Ria Internal Revenue Code July 2006: July Code (Complete Internal Revenue Code July);4848;RIA;0;0;0;Choddy;2
Divide And Rule;4471927;L. Sprague de Camp;03.31;32;3;Rifki;2
The Summer of a Dormouse;4842;John Mortimer;03.48;77;17;Abdul Aziz;5
Wake Up, Dormouse, Santa Claus Is Here;4841;Eleonore Schmid;03.09;10;1;Abdul Aziz;5
What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry;4844;John Markoff;0,183333333;749;85;Umar Jamil;1
Death of a Dormouse;4840;Patrick Ruell;0,171527778;201;18;Randi;5
Code Complete;4846;Steve McConnell;04.28;6638;318;Randi;3
Code Complete;4845;Steve McConnell;04.28;6638;318;Dirga;3
The Unexpurgated Code: A Complete Manual Of Survival And Manners;1033975;J.P. Donleavy;04.16;225;17;Witsqadianto;5
"Plato's ""Phaedrus"": A Defense of a Philosophic Art of Writing";1344;Ronna Burger;3;3;0;Witsqadianto;1
Anne of Green Gables;8131;L.M. Montgomery;04.23;540420;14380;Danit;5
Anne of Green Gables;8130;L.M. Montgomery;04.23;540420;14380;Danit;5
Anne of Green Gables;8134;L.M. Montgomery;04.23;540420;14380;Danit;2
The Green Gables Letters: From L. M. Montgomery to Ephraim Weber, 1905-1909;8138;Wilfrid Eggleston;04.57;7;0;Danit;4
Anne of Green Gables;8132;Paul McCusker;04.35;82;9;Riyan;3
Anne of Avonlea (Anne of Green Gables #2);8140;L.M. Montgomery;04.21;109387;3116;Elsa;1
The Road to Yesterday (Anne of Green Gables, #9);8137;L.M. Montgomery;0,179166667;3588;231;Riyan;5
The Annotated Anne of Green Gables (Anne of Green Gables, #1);8133;L.M. Montgomery;04.23;540386;14380;Riyan;4
Anne of Avonlea;8139;L.M. Montgomery;04.21;109382;3115;Riyan;4
The Great Physician's Rx for Diabetes (Rubin Series);5025;Jordan S. Rubin;0,143055556;7;1;Sageri;4
Seasons of God's Love: The Church Year;5029;Jeanne S. Fogle;0;0;0;Sageri;2
Seasons of Charlotte;5028;Robert Inman;0;0;0;Danit;1
7 Pillars of Freedom;5034;Mike Bentley;0;0;0;Sageri;4
Four Seasons Cookbook;5031;Bea Smith;0;0;0;Cahyono;3
Great Lakes Cookery: Heritage Stories and Recipes for the Four Seasons;5030;Bea Smith;3;1;1;Teddy;3
Bea's Ramblings Through Seasons and Holidays;5032;Beatrice Heller-Knapp;0;0;0;Elsa;5
I Love Saturdays y domingos;5027;Alma Flor Ada;4;485;168;Cahyono;4
Saturday Night at the Dinosaur Stomp;5026;Carol Diggory Shields;03.09;438;58;Choddy;5
7 Pillars of Wisdom;5033;Nate Holcomb;0,186111111;8;1;Rifki;4
How to Talk to Women;1289;Ron Louis;5;5;1;Abdul Aziz;5
J.K.Lasser Pro Real Estate Investment Trusts: New Strategies for Portfolio Management;1288;Richard Imperiale;0;0;0;Abdul Aziz;2
